数据集,下游模型,填补方法,掩码率,填补MSE,填补MAE,下游MSE,下游MAE,种子,日期,是否汇入总表
ETTh1,TimesNet,mean,50.0%,0.6587145759285181,0.5336189146699577,0.406533271074295,0.4236436188220978,2024,2024-10-05  07:57:14,0
ECL,TimesNet,mean,50.0%,0.7969895679017772,0.743096537471558,0.1818244159221649,0.2880415916442871,2024,2024-10-05  10:05:57,0
Weather,TimesNet,mean,50.0%,0.1101213321032608,0.1696953598147064,0.1903441995382309,0.2346845418214798,2024,2024-10-05  10:56:12,0
ETTm1,TimesNet,mean,62.5%,0.607341078996687,0.5035236251360479,0.3583229780197143,0.3870437741279602,2024,2024-10-05  11:39:45,0
ETTh1,TimesNet,mean,62.5%,0.664390694735379,0.535286790851889,0.4171044826507568,0.4287019371986389,2024,2024-10-05  11:47:26,0
ECL,TimesNet,mean,62.5%,0.8026205108772894,0.7443779468166162,0.1868038922548294,0.2952843010425567,2024,2024-10-05  13:45:01,0
Weather,TimesNet,mean,62.5%,0.1108150884674782,0.1701119474301034,0.1816243678331375,0.2296077311038971,2024,2024-10-05  14:13:27,0
ETTm1,TimesNet,mean,75.0%,0.6162721074400835,0.5058036395935577,0.3772031366825104,0.3986423313617706,2024,2024-10-05  14:55:22,0
ETTh1,TimesNet,mean,75.0%,0.6730022816651169,0.5381231028800724,0.4333330988883972,0.437495082616806,2024,2024-10-05  15:03:12,0
ETTm1,TimesNet,mean,12.5%,0.600087185370402,0.5020755515733853,0.3379368484020233,0.3751429915428161,2021,2024-10-05  16:38:22,0
ETTh1,TimesNet,mean,12.5%,0.647927589800166,0.5304940445669766,0.4113209247589111,0.4220491647720337,2021,2024-10-05  16:44:08,0
ECL,TimesNet,mean,75.0%,0.8142739676910898,0.7472304627762077,0.2047261148691177,0.3144916296005249,2024,2024-10-05  17:18:12,0
Weather,TimesNet,mean,75.0%,0.1125379732689974,0.1708494827516971,0.1850592494010925,0.2330131232738495,2024,2024-10-05  17:46:24,0
ECL,TimesNet,mean,12.5%,0.7896993450866723,0.741336714221824,0.1703972816467285,0.2748387455940246,2021,2024-10-05  18:33:57,0
Weather,TimesNet,mean,12.5%,0.1087781032161684,0.1692888611253419,0.1678736805915832,0.2165144979953766,2021,2024-10-05  18:57:26,0
ETTm1,TimesNet,mean,25.0%,0.5991652896523434,0.5013910269140363,0.3403498828411102,0.3769997954368591,2021,2024-10-05  19:35:34,0
ETTh1,TimesNet,mean,25.0%,0.6559709152956118,0.532938893841601,0.4336483776569366,0.4335324168205261,2021,2024-10-05  19:42:27,0
ECL,TimesNet,mean,25.0%,0.7912601028910334,0.7416578161050074,0.16932514309883118,0.27479609847068787,2021,2024-10-05  21:31:23,0
